Date,Open,High,Low,Close,Volume
2017-04-19 16:40:00,2349.5,2349.57,2348.99,2349.57,0.0
2017-04-19 16:41:00,2349.02,2349.43,2348.99,2349.43,0.0
2017-04-19 16:42:00,2348.52,2349.11,2348.52,2348.98,0.0
2017-04-19 16:43:00,2348.92,2348.92,2348.5,2348.51,0.0
2017-04-19 16:44:00,2349.05,2349.48,2348.92,2348.92,0.0
2017-04-19 16:45:00,2348.74,2349.1,2348.49,2349.08,0.0
2017-04-19 16:46:00,2348.81,2348.81,2348.47,2348.74,0.0
2017-04-19 16:47:00,2348.61,2348.92,2348.61,2348.79,0.0
2017-04-19 16:48:00,2348.66,2348.8,2348.52,2348.6,0.0
2017-04-19 16:49:00,2348.29,2348.52,2348.24,2348.52,0.0
2017-04-19 16:50:00,2346.93,2348.64,2346.83,2348.3,0.0
2017-04-19 16:51:00,2346.75,2347.12,2346.63,2346.95,0.0
2017-04-19 16:52:00,2347.39,2347.46,2346.76,2346.76,0.0
2017-04-19 16:53:00,2347.64,2347.7,2347.41,2347.41,0.0
2017-04-19 16:54:00,2347.85,2347.85,2347.49,2347.64,0.0
2017-04-19 16:55:00,2347.99,2347.99,2347.73,2347.86,0.0
2017-04-19 16:56:00,2347.85,2348.15,2347.73,2347.98,0.0
2017-04-19 16:57:00,2347.65,2347.84,2347.58,2347.84,0.0
2017-04-19 16:58:00,2347.71,2348.06,2347.65,2347.65,0.0
2017-04-19 16:59:00,2348.58,2348.62,2347.7,2347.71,0.0
2017-04-19 17:00:00,2348.13,2348.57,2348.02,2348.57,0.0
2017-04-19 17:01:00,2348.69,2348.69,2348.05,2348.12,0.0
2017-04-19 17:02:00,2348.76,2348.78,2348.46,2348.62,0.0
2017-04-19 17:03:00,2348.48,2348.86,2348.48,2348.76,0.0
2017-04-19 17:04:00,2348.04,2348.32,2348.03,2348.32,0.0
2017-04-19 17:05:00,2348.01,2348.19,2347.98,2348.04,0.0
2017-04-19 17:06:00,2348.26,2348.28,2348.01,2348.01,0.0
2017-04-19 17:07:00,2348.65,2348.65,2348.18,2348.26,0.0
2017-04-19 17:08:00,2348.49,2348.77,2348.44,2348.68,0.0
2017-04-19 17:09:00,2348.37,2348.76,2348.37,2348.5,0.0
2017-04-19 17:10:00,2348.46,2348.49,2348.15,2348.38,0.0
2017-04-19 17:11:00,2347.82,2348.45,2347.81,2348.43,0.0
2017-04-19 17:12:00,2347.93,2347.96,2347.72,2347.82,0.0
2017-04-19 17:13:00,2348.09,2348.09,2347.88,2347.96,0.0
2017-04-19 17:14:00,2348.59,2348.62,2348.11,2348.11,0.0
2017-04-19 17:15:00,2348.65,2348.75,2348.47,2348.59,0.0
2017-04-19 17:16:00,2348.72,2348.76,2348.42,2348.64,0.0
2017-04-19 17:17:00,2348.77,2348.78,2348.57,2348.7,0.0
2017-04-19 17:18:00,2348.9,2349.0,2348.73,2348.78,0.0
2017-04-19 17:19:00,2348.71,2349.09,2348.68,2348.91,0.0
2017-04-19 17:20:00,2348.81,2349.0,2348.69,2348.73,0.0
2017-04-19 17:21:00,2349.2,2349.24,2348.81,2348.81,0.0
2017-04-19 17:22:00,2349.09,2349.33,2349.01,2349.19,0.0
2017-04-19 17:23:00,2348.83,2349.11,2348.67,2349.1,0.0
2017-04-19 17:24:00,2349.39,2349.49,2348.98,2348.98,0.0
2017-04-19 17:25:00,2349.84,2349.84,2349.31,2349.37,0.0
2017-04-19 17:26:00,2349.44,2349.99,2349.43,2349.84,0.0
2017-04-19 17:27:00,2349.34,2349.53,2349.34,2349.44,0.0
2017-04-19 17:28:00,2348.85,2349.33,2348.83,2349.33,0.0
2017-04-19 17:29:00,2349.3,2349.3,2348.87,2348.87,0.0
2017-04-19 17:30:00,2350.04,2350.14,2349.25,2349.32,0.0
2017-04-19 17:31:00,2349.55,2350.05,2349.53,2350.05,0.0
2017-04-19 17:32:00,2349.4,2349.53,2349.26,2349.53,0.0
2017-04-19 17:33:00,2349.78,2349.8,2349.36,2349.38,0.0
2017-04-19 17:34:00,2349.68,2349.83,2349.65,2349.78,0.0
2017-04-19 17:35:00,2349.49,2349.67,2349.36,2349.67,0.0
2017-04-19 17:36:00,2349.94,2349.94,2349.46,2349.47,0.0
2017-04-19 17:37:00,2349.87,2349.89,2349.59,2349.86,0.0
2017-04-19 17:38:00,2349.69,2350.2,2349.69,2349.88,0.0
2017-04-19 17:39:00,2349.69,2349.75,2349.59,2349.7,0.0
2017-04-19 17:40:00,2349.92,2350.08,2349.7,2349.7,0.0
2017-04-19 17:41:00,2349.93,2350.01,2349.85,2349.93,0.0
2017-04-19 17:42:00,2349.97,2350.07,2349.84,2349.93,0.0
2017-04-19 17:43:00,2349.91,2350.18,2349.91,2349.96,0.0
2017-04-19 17:44:00,2349.87,2349.95,2349.76,2349.93,0.0
2017-04-19 17:45:00,2349.78,2350.25,2349.76,2349.87,0.0
2017-04-19 17:46:00,2349.79,2349.87,2349.79,2349.79,0.0
2017-04-19 17:47:00,2349.45,2349.77,2349.41,2349.77,0.0
2017-04-19 17:48:00,2349.19,2349.45,2349.1,2349.45,0.0
2017-04-19 17:49:00,2348.91,2349.24,2348.89,2349.19,0.0
2017-04-19 17:50:00,2348.84,2348.92,2348.66,2348.9,0.0
2017-04-19 17:51:00,2349.07,2349.11,2348.79,2348.82,0.0
2017-04-19 17:52:00,2349.05,2349.17,2349.01,2349.08,0.0
2017-04-19 17:53:00,2348.25,2349.05,2348.22,2349.04,0.0
2017-04-19 17:54:00,2348.2,2348.53,2348.17,2348.29,0.0
2017-04-19 17:55:00,2348.27,2348.55,2348.2,2348.2,0.0
2017-04-19 17:56:00,2347.92,2348.27,2347.91,2348.27,0.0
2017-04-19 17:57:00,2347.35,2347.97,2347.35,2347.94,0.0
2017-04-19 17:58:00,2347.9,2347.9,2347.23,2347.33,0.0
2017-04-19 17:59:00,2347.34,2347.95,2347.34,2347.91,0.0
2017-04-19 18:00:00,2347.36,2347.43,2347.16,2347.34,0.0
2017-04-19 18:01:00,2347.49,2347.5,2347.33,2347.36,0.0
2017-04-19 18:02:00,2347.39,2347.53,2347.39,2347.5,0.0
2017-04-19 18:03:00,2347.56,2347.63,2347.39,2347.4,0.0
2017-04-19 18:04:00,2347.33,2347.65,2347.32,2347.56,0.0
2017-04-19 18:05:00,2346.34,2347.34,2346.34,2347.32,0.0
2017-04-19 18:06:00,2344.91,2346.29,2344.86,2346.29,0.0
2017-04-19 18:07:00,2345.27,2345.27,2344.82,2344.88,0.0
2017-04-19 18:08:00,2345.57,2345.69,2345.27,2345.27,0.0
2017-04-19 18:09:00,2345.65,2345.68,2345.48,2345.57,0.0
2017-04-19 18:10:00,2344.98,2345.73,2344.98,2345.64,0.0
2017-04-19 18:11:00,2344.06,2344.94,2343.91,2344.94,0.0
2017-04-19 18:12:00,2344.24,2344.3,2343.92,2344.05,0.0
2017-04-19 18:13:00,2344.74,2344.74,2344.24,2344.25,0.0
2017-04-19 18:14:00,2345.3,2345.31,2344.74,2344.75,0.0
2017-04-19 18:15:00,2344.87,2345.28,2344.83,2345.25,0.0
2017-04-19 18:16:00,2344.74,2344.86,2344.65,2344.86,0.0
2017-04-19 18:17:00,2344.76,2345.02,2344.72,2344.74,0.0
2017-04-19 18:18:00,2345.25,2345.26,2344.71,2344.74,0.0
2017-04-19 18:19:00,2345.48,2345.56,2345.23,2345.26,0.0
2017-04-19 18:20:00,2344.98,2345.5,2344.98,2345.49,0.0
2017-04-19 18:21:00,2344.76,2345.03,2344.74,2344.98,0.0
2017-04-19 18:22:00,2346.14,2346.15,2344.68,2344.76,0.0
